x,y,z
-27.290,-42.518,1.600
-27.440,-42.518,1.600
-27.590,-42.518,1.600
-27.740,-42.518,1.600
-27.890,-42.518,1.600
-28.040,-42.518,1.600
-28.190,-42.518,1.600
-28.341,-42.518,1.600
-28.384,-42.661,1.625
-28.427,-42.804,1.625
-28.471,-42.948,1.625
-28.514,-43.092,1.650
-28.557,-43.236,1.650
-28.601,-43.379,1.650
-28.644,-43.522,1.650
-28.688,-43.666,1.650
-28.731,-43.809,1.675
-28.774,-43.953,1.675
-28.818,-44.096,1.675
-28.861,-44.240,1.700
-28.905,-44.384,1.700
-28.948,-44.527,1.700
-28.991,-44.671,1.700
-29.035,-44.815,1.700
-29.078,-44.958,1.725
-29.122,-45.102,1.725
-29.165,-45.245,1.725
-29.209,-45.389,1.725
-29.252,-45.533,1.750
-29.295,-45.676,1.750
-29.339,-45.820,1.750
-29.382,-45.963,1.750
-29.425,-46.107,1.750
-29.469,-46.250,1.773
-29.512,-46.394,1.773
-29.556,-46.538,1.773
-29.599,-46.681,1.795
-29.642,-46.825,1.795
-29.686,-46.968,1.795
-29.729,-47.112,1.795
-29.773,-47.255,1.795
-29.816,-47.399,1.818
-29.859,-47.542,1.818
-29.903,-47.686,1.818
-29.946,-47.829,1.841
-29.990,-47.973,1.841
-30.033,-48.116,1.841
-30.076,-48.260,1.841
-30.120,-48.404,1.841
-30.163,-48.547,1.841
-30.207,-48.691,1.864
-30.250,-48.834,1.864
-30.293,-48.978,1.864
-30.337,-49.121,1.864
-30.380,-49.265,1.886
-30.424,-49.409,1.886
-30.467,-49.552,1.886
-30.510,-49.696,1.886
-30.554,-49.839,1.886
-30.597,-49.983,1.909
-30.641,-50.127,1.909
-30.684,-50.270,1.909
-30.727,-50.414,1.909
-30.771,-50.557,1.932
-30.814,-50.701,1.932
-30.858,-50.844,1.932
-30.901,-50.988,1.932
-30.944,-51.132,1.932
-30.988,-51.275,1.949
-31.031,-51.419,1.949
-31.075,-51.562,1.949
-31.118,-51.706,1.966
-31.161,-51.849,1.966
-31.205,-51.993,1.966
-31.248,-52.137,1.966
-31.292,-52.280,1.966
-31.335,-52.424,1.983
-31.378,-52.567,1.983
-31.422,-52.711,1.983
-31.465,-52.854,1.983
-31.509,-52.998,2.000
-31.552,-53.142,2.000
-31.595,-53.285,2.000
-31.639,-53.428,2.000
-31.682,-53.572,2.000
-31.646,-53.427,2.000
-31.610,-53.281,2.000
-31.574,-53.136,2.000
-31.538,-52.990,2.000
-31.501,-52.844,2.000
-31.465,-52.699,2.000
-31.429,-52.553,2.000
-31.393,-52.408,2.000
-31.357,-52.262,2.000
